SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
1,32,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
2,43,11,6,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,71,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
2,47,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
1,52,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,45,12,6,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,54,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
2,61,11,7,1,2.0,2.0,1,2.0,1.0,2.0,2.0,,7500.0,2,2,2,2,2,2,1,2.0
1,35,12,7,1,1.0,2.0,1,1.0,1.0,2.0,,,7500.0,2,2,2,2,2,2,2,2.0
1,68,10,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,52,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
2,62,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
1,56,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,66,10,7,2,3.0,2.0,1,1.0,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
1,38,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
2,36,11,7,1,3.0,2.0,1,1.0,4.0,1.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
2,35,11,6,1,3.0,2.0,1,,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
2,50,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
1,65,12,5,1,3.0,2.0,1,,5.0,1.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
2,49,11,7,1,3.0,2.0,1,1.0,2.0,1.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
1,68,12,8,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7500.0,2,2,2,2,2,2,3,2.0
1,38,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,7493.0,2,2,2,2,2,2,1,2.0
1,45,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,7483.0,2,2,2,2,2,2,1,2.0
1,50,6,7,1,1.0,2.0,1,3.0,1.0,2.0,2.0,,7417.0,2,2,2,2,2,2,5,2.0
1,25,11,7,1,3.0,1.0,1,1.0,4.0,2.0,,4.0,7416.0,2,2,2,2,2,2,3,2.0
2,39,6,7,1,2.0,2.0,1,2.0,1.0,2.0,1.0,,7350.0,2,2,2,2,2,2,5,2.0
1,37,11,7,1,1.0,1.0,1,1.0,1.0,1.0,,,7300.0,2,2,2,2,2,2,1,2.0
1,36,11,7,1,2.0,2.0,1,1.0,1.0,2.0,,,7300.0,2,2,2,2,2,2,5,2.0
1,19,6,7,1,3.0,2.0,1,1.0,2.0,1.0,,4.0,7260.0,2,2,2,2,2,2,6,2.0
2,33,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,7251.0,2,2,2,2,2,2,1,2.0
1,44,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7250.0,2,2,2,2,2,2,1,2.0
1,59,12,1,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7200.0,2,2,2,2,2,2,3,2.0
1,36,12,5,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,7084.0,2,2,2,2,2,2,3,2.0
1,45,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7083.0,2,2,2,2,2,2,1,2.0
2,39,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,7082.0,2,2,2,2,2,2,1,2.0
2,40,5,7,1,2.0,2.0,1,2.0,1.0,2.0,2.0,,7077.0,2,2,2,2,2,2,5,2.0
2,67,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7050.0,2,2,2,2,2,2,1,2.0
2,38,11,7,1,3.0,2.0,1,1.0,5.0,1.0,,4.0,7034.0,2,2,2,2,2,2,1,2.0
2,26,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,7025.0,2,2,2,2,2,2,3,2.0
1,28,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,7021.0,2,2,2,2,2,2,1,2.0
2,36,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7000.0,2,2,2,2,2,2,1,2.0
